index,Abdomen Fast,Abdomen RIP,C3,C4,E1,E2,EDA,EKG,F,1-F,2-F,F3,F4,Flow Limitation,Heart Rate,Inductance Abdom,Inductance Thora,K,M2,M1M2,C3-M2,F3-M2,E1-M2,Nasal Pressure,O1,O1-M2,O2,O2-M1,Pleth,PTT,Pulse,PWA,Resp Rate,Right Leg,RIP Phase,SpO2 B-B,SpO2,Class
0,2.66E-07,-1.15E-06,-7.22E-06,-9.65E-06,1.01E-05,-0.000538001,-0.012896865,-0.001074641,2.78E-06,1.76E-06,4.30E-06,-1.11E-06,-1.09E-06,0.239245548,86.69231801,1.97E-06,1.93E-06,0.577581098,2.74E-06,5.02E-07,-8.22E-06,-2.32E-06,1.34E-05,0.007079281,-4.92E-05,-5.04E-05,-7.61E-06,-7.06E-06,2760.12185,1.59E-05,67.23293643,2458.414308,16.85816897,-0.000718849,6.689148893,96.19887592,96.66655985,NREM
1,2.07E-06,5.97E-07,3.91E-06,1.76E-06,-8.71E-06,-0.00067474,-0.013290705,-0.000855738,2.79E-06,-8.63E-08,1.08E-05,8.73E-06,1.51E-05,0.276825472,101.4334598,1.97E-06,1.93E-06,0.565672553,2.78E-06,5.34E-07,2.91E-06,7.51E-06,-5.45E-06,1.33E-05,-6.19E-05,-6.31E-05,-1.87E-05,-1.82E-05,2759.031487,1.59E-05,69.32121767,2878.393927,16.40928126,-0.00072702,2.242869436,96.60995397,97.06657816,NREM
2,2.32E-06,7.65E-07,-8.67E-06,-1.23E-05,-9.63E-06,-0.000807905,-0.013116756,-0.000681319,2.79E-06,-3.62E-05,-3.22E-05,-1.07E-05,-3.75E-06,0.277315365,87.35985756,1.97E-06,1.93E-06,0.559693383,2.07E-06,5.44E-07,-9.00E-06,-1.13E-05,-5.66E-06,-0.006715895,-2.58E-05,-2.63E-05,-3.01E-05,-3.04E-05,2780.887043,1.59E-05,66.23301747,2906.946537,16.87632946,-0.000747252,5.432215491,96.38781652,96.67767147,NREM
3,1.27E-06,-1.19E-07,2.27E-06,5.61E-07,4.30E-06,-0.002046917,-0.013081278,-0.000538438,2.77E-06,-2.02E-05,-1.50E-05,3.48E-06,8.73E-06,0.271259915,105.7141223,1.97E-06,1.93E-06,0.560182853,3.76E-06,1.67E-06,2.80E-07,1.26E-06,6.57E-06,0.007446583,-1.31E-05,-1.54E-05,-4.64E-05,-4.73E-05,2766.322132,1.59E-05,67.26639031,2034.509815,16.96867001,-0.000718945,9.931138018,95.22156948,95.4553933,NREM
4,-1.02E-06,-2.52E-06,-1.08E-05,-2.79E-05,2.01E-06,-0.0001294,-0.012941264,-0.000497135,2.80E-06,1.71E-05,1.36E-05,-2.25E-05,-6.34E-06,0.2364364,114.0657208,1.97E-06,1.93E-06,0.570492173,7.75E-06,6.66E-07,-1.68E-05,-2.88E-05,3.02E-07,-0.001929212,-4.83E-05,-5.45E-05,1.47E-06,6.72E-06,2769.100121,1.59E-05,66.7996487,1907.627011,16.49392401,-0.000651841,3.195297011,97.26575282,97.27769894,NREM
5,2.97E-06,1.50E-06,1.73E-06,-5.78E-06,-8.43E-06,2.84E-06,-0.012878418,-0.000318712,2.79E-06,6.01E-05,6.42E-05,6.09E-06,2.06E-05,0.245317737,100.7884696,1.97E-06,1.93E-06,0.585431489,6.84E-06,5.22E-07,-3.33E-06,8.02E-07,-9.22E-06,0.0009017,-4.15E-05,-4.68E-05,3.44E-05,3.90E-05,2762.452101,1.59E-05,70.78803557,2356.284289,15.98988711,-0.000651298,5.536402992,96.47667489,97.3110338,NREM
6,3.27E-06,1.80E-06,-2.65E-06,-1.64E-05,1.61E-05,2.47E-06,-0.012828999,-0.000147668,2.79E-06,2.64E-05,2.45E-05,-6.91E-06,1.00E-05,0.220233176,102.9641934,1.97E-06,1.93E-06,0.599262838,3.51E-06,5.00E-07,-4.42E-06,-8.90E-06,1.86E-05,-5.72E-05,-5.08E-05,-5.28E-05,-3.24E-05,-3.11E-05,2795.488494,1.59E-05,69.18834618,2937.857895,16.96319146,-0.00068986,5.577052598,96.27666302,96.72211795,NREM
7,2.71E-06,1.19E-06,4.49E-06,-1.71E-05,1.48E-05,3.46E-06,-0.012900337,-1.54E-06,2.78E-06,3.73E-05,3.26E-05,1.05E-05,1.70E-05,0.318951331,101.5411206,1.97E-06,1.93E-06,0.619409258,4.21E-06,5.19E-07,2.05E-06,7.87E-06,1.67E-05,-0.005311962,-8.57E-06,-1.12E-05,-9.05E-06,-7.07E-06,2743.235508,1.59E-05,66.63310699,2422.564025,15.47567315,-0.000652975,4.444448394,96.754423,96.98879683,NREM
8,4.71E-06,3.25E-06,-1.33E-05,-1.80E-05,-5.80E-06,2.49E-06,-0.012878951,0.000115116,2.80E-06,3.12E-05,2.77E-05,-3.34E-06,-5.69E-06,0.232963245,105.4218698,1.97E-06,1.93E-06,0.650630852,4.10E-06,5.08E-07,-1.57E-05,-5.90E-06,-3.86E-06,0.001777135,-3.94E-05,-4.19E-05,6.86E-06,8.76E-06,2764.290933,1.59E-05,66.43287539,2107.732552,15.63476939,-0.000685414,11.58980671,96.68769021,96.75545281,REM
9,3.94E-06,2.42E-06,-6.57E-06,-2.49E-05,-8.54E-06,3.13E-06,-0.012692326,0.000350274,2.79E-06,-1.48E-05,-2.00E-05,-2.78E-06,1.02E-05,0.277666725,80.81679159,1.97E-06,1.93E-06,0.690003155,5.38E-06,5.07E-07,-1.02E-05,-6.63E-06,-7.89E-06,-0.002216851,-5.61E-05,-5.99E-05,0.000108858,0.000112123,2768.349972,1.59E-05,67.56639353,2710.609968,16.11724247,-0.000641012,5.046502007,96.4877292,96.99990845,REM
