,Event,Duration,Start Time,End Time,Start Epoch,End Epoch
0,NREM,30,00:03:00.000,00:03:30.000,822,823
1,NREM,30,00:03:30.000,00:04:00.000,823,824
2,NREM,30,00:04:30.000,00:05:00.000,825,826
3,NREM,30,00:05:00.000,00:05:30.000,826,827
4,NREM,30,00:05:30.000,00:06:00.000,827,828
5,NREM,30,00:06:00.000,00:06:30.000,828,829
6,NREM,30,00:06:30.000,00:07:00.000,829,830
7,REM,30,00:07:00.000,00:07:30.000,830,831
8,REM,30,00:07:30.000,00:08:00.000,831,832
9,REM,30,00:08:00.000,00:08:30.000,832,833
10,REM,30,00:08:30.000,00:09:00.000,833,834
11,REM,30,00:09:00.000,00:09:30.000,834,835
12,REM,30,00:09:30.000,00:10:00.000,835,836
13,NREM,30,00:10:00.000,00:10:30.000,836,837
14,NREM,30,00:10:30.000,00:11:00.000,837,838
15,NREM,30,00:11:00.000,00:11:30.000,838,839
16,NREM,30,00:11:30.000,00:12:00.000,839,840
17,NREM,30,00:12:00.000,00:12:30.000,840,841
18,NREM,30,00:12:30.000,00:13:00.000,841,842
19,REM,30,00:13:00.000,00:13:30.000,842,843
20,NREM,30,00:16:30.000,00:17:00.000,849,850
21,NREM,30,00:17:00.000,00:17:30.000,850,851
22,NREM,30,00:17:30.000,00:18:00.000,851,852
23,NREM,30,00:18:00.000,00:18:30.000,852,853
24,NREM,30,00:18:30.000,00:19:00.000,853,854
25,NREM,30,00:19:00.000,00:19:30.000,854,855
26,NREM,30,00:19:30.000,00:20:00.000,855,856
27,NREM,30,00:20:00.000,00:20:30.000,856,857
28,NREM,30,00:20:30.000,00:21:00.000,857,858
29,NREM,30,00:21:00.000,00:21:30.000,858,859
30,NREM,30,00:21:30.000,00:22:00.000,859,860
31,NREM,30,00:22:00.000,00:22:30.000,860,861
32,NREM,30,00:22:30.000,00:23:00.000,861,862
33,NREM,30,00:23:00.000,00:23:30.000,862,863
34,NREM,30,00:23:30.000,00:24:00.000,863,864
35,NREM,30,00:24:00.000,00:24:30.000,864,865
36,NREM,30,00:24:30.000,00:25:00.000,865,866
37,NREM,30,00:25:00.000,00:25:30.000,866,867
38,NREM,30,00:25:30.000,00:26:00.000,867,868
39,NREM,30,00:26:00.000,00:26:30.000,868,869
40,NREM,30,00:46:30.000,00:47:00.000,909,910
41,NREM,30,00:47:00.000,00:47:30.000,910,911
42,NREM,30,00:47:30.000,00:48:00.000,911,912
43,NREM,30,00:48:00.000,00:48:30.000,912,913
44,NREM,30,00:48:30.000,00:49:00.000,913,914
45,NREM,30,00:49:00.000,00:49:30.000,914,915
46,NREM,30,00:49:30.000,00:50:00.000,915,916
47,NREM,30,00:50:30.000,00:51:00.000,917,918
48,NREM,30,00:51:00.000,00:51:30.000,918,919
49,NREM,30,00:51:30.000,00:52:00.000,919,920
50,NREM,30,00:52:00.000,00:52:30.000,920,921
51,NREM,30,00:52:30.000,00:53:00.000,921,922
52,NREM,30,00:53:00.000,00:53:30.000,922,923
53,NREM,30,00:53:30.000,00:54:00.000,923,924
54,NREM,30,00:54:00.000,00:54:30.000,924,925
55,NREM,30,00:54:30.000,00:55:00.000,925,926
56,NREM,30,00:55:00.000,00:55:30.000,926,927
57,NREM,30,00:55:30.000,00:56:00.000,927,928
58,NREM,30,00:56:00.000,00:56:30.000,928,929
59,NREM,30,00:56:30.000,00:57:00.000,929,930
60,NREM,30,00:57:00.000,00:57:30.000,930,931
61,NREM,30,00:57:30.000,00:58:00.000,931,932
62,NREM,30,00:58:00.000,00:58:30.000,932,933
63,NREM,30,00:58:30.000,00:59:00.000,933,934
64,NREM,30,00:59:00.000,00:59:30.000,934,935
65,NREM,30,00:59:30.000,01:00:00.000,935,936
66,NREM,30,01:00:00.000,01:00:30.000,936,937
67,NREM,30,01:00:30.000,01:01:00.000,937,938
68,NREM,30,01:01:00.000,01:01:30.000,938,939
69,NREM,30,01:01:30.000,01:02:00.000,939,940
70,NREM,30,01:02:00.000,01:02:30.000,940,941
71,NREM,30,01:03:00.000,01:03:30.000,942,943
72,NREM,30,01:03:30.000,01:04:00.000,943,944
73,NREM,30,01:04:00.000,01:04:30.000,944,945
74,NREM,30,01:04:30.000,01:05:00.000,945,946
