Event,Duration,Start Time,End Time,Start Epoch,End Epoch,
N1,30,03:00.0,03:30.0,822,823,
LM,1.17,03:25.9,03:27.1,822,822,
N1,30,03:30.0,04:00.0,823,824,
Wake,30,04:00.0,04:30.0,824,825,
Desat,38.333,04:27.9,05:06.2,824,826,
N1,30,04:30.0,05:00.0,825,826,
N2,30,05:00.0,05:30.0,826,827,
LM,1.215,05:24.2,05:25.4,826,826,
PLM,286.463,05:24.2,10:10.6,826,836,
Movement,1.35,05:24.3,05:25.7,826,826,
N2,30,05:30.0,06:00.0,827,828,
N2,30,06:00.0,06:30.0,828,829,
LM,0.618,06:05.0,06:05.6,828,828,
N2,30,06:30.0,07:00.0,829,830,
LM,1.441,06:46.0,06:47.4,829,829,
REM,30,07:00.0,07:30.0,830,831,
LM,1.32,07:24.1,07:25.4,830,830,
REM,30,07:30.0,08:00.0,831,832,
Movement,2,07:53.8,07:55.8,831,831,
LM,1.775,07:54.4,07:56.2,831,831,
LM,1.615,07:54.7,07:56.3,831,831,
REM,30,08:00.0,08:30.0,832,833,
Movement,1.6,08:26.3,08:27.9,832,832,
LM,0.965,08:26.7,08:27.7,832,832,
LM,1.23,08:26.9,08:28.1,832,832,
REM,30,08:30.0,09:00.0,833,834,
REM,30,09:00.0,09:30.0,834,835,
LM,1.99,09:15.4,09:17.4,834,834,
Movement,3.3,09:16.2,09:19.5,834,834,
REM,30,09:30.0,10:00.0,835,836,
N2,30,10:00.0,10:30.0,836,837,
LM,1.02,10:08.5,10:09.5,836,836,
LM,1.64,10:09.0,10:10.6,836,836,
Movement,1.15,10:09.7,10:10.8,836,836,
N2,30,10:30.0,11:00.0,837,838,
N2,30,11:00.0,11:30.0,838,839,
N2,30,11:30.0,12:00.0,839,840,
N2,30,12:00.0,12:30.0,840,841,
N2,30,12:30.0,13:00.0,841,842,
LM,2.06,12:41.0,12:43.0,841,841,
Movement,1.7,12:41.2,12:42.9,841,841,
REM,30,13:00.0,13:30.0,842,843,
Snore Train,40.49,13:28.1,14:08.6,842,844,
Wake,30,13:30.0,14:00.0,843,844,
LM,1.51,13:44.1,13:45.6,843,843,
LM,1.03,13:44.7,13:45.7,843,843,
Movement,27.348,13:49.8,14:17.2,843,844,
Wake,30,14:00.0,14:30.0,844,845,
LM,1.385,14:15.2,14:16.5,844,844,
LM,0.895,14:16.0,14:16.9,844,844,
Wake,30,14:30.0,15:00.0,845,846,
LM,3.09,14:48.3,14:51.4,845,845,
Movement,30.848,14:49.0,15:19.9,845,846,
LM,0.65,14:50.6,14:51.3,845,845,
Wake,30,15:00.0,15:30.0,846,847,
LM,0.5,15:11.6,15:12.1,846,846,
Wake,30,15:30.0,16:00.0,847,848,
Wake,30,16:00.0,16:30.0,848,849,
N1,30,16:30.0,17:00.0,849,850,
LM,1.098,16:40.5,16:41.6,849,849,
Movement,8.55,16:41.3,16:49.8,849,849,
LM,0.685,16:49.6,16:50.3,849,849,
