,Abdomen Fast,Abdomen RIP,C3,C4,E1,E2,EDA,EKG,F,1-F,2-F,F3,F4,Flow Limitation,Heart Rate,Inductance Abdom,Inductance Thora,K,M2,M1M2,C3-M2,F3-M2,E1-M2,Nasal Pressure,O1,O1-M2,O2,O2-M1,Pleth,PTT,Pulse,PWA,Resp Rate,Right Leg,RIP Phase,SpO2 B-B,SpO2,Class
0,1.0213173825691153e-06,-4.515319752803801e-07,2.7742086976424298e-06,-3.419161989776507e-06,5.655820187685785e-06,2.605318867780524e-06,-0.027900558746359456,-0.004007680296429382,2.7895168230715415e-06,-2.3129473411155696e-06,-1.6431283436327014e-06,-1.050218004119941e-05,-4.1607469901581235e-06,0.21867466258701454,60.66289546389968,1.9550519671422393e-06,1.8664139365733324e-06,0.5626417147938659,1.7266320286872284e-06,5.02618753337911e-07,2.8252489153383204e-06,-1.070482471961557e-05,9.964591121791992e-06,-0.00034017677016820734,3.4965644007018635e-06,3.378615686274168e-06,-1.8715185168231227e-06,-2.341837224383095e-06,2767.01809967532,0.2623338091678645,60.46596983800005,7252.838982935324,14.096681982128633,-0.003283171558581948,0.10784962834108999,95.73256020955723,95.95541618982224,NREM
1,2.202667447419959e-06,6.479679357086591e-07,1.850267292286513e-06,-1.1482573434042927e-05,-5.943042710002474e-06,2.618969893949747e-06,-0.02776916978675009,-0.004204661410795752,2.7771144426641252e-06,-1.8174308690014334e-06,1.3273026932178356e-06,-5.174532539864706e-07,-9.792079316396013e-06,0.20418690578001578,61.626587083543136,1.955026942346329e-06,1.8662686706848756e-06,0.5646970564983598,4.991470359352637e-07,5.028734772767731e-07,3.124464258284838e-06,5.271064316776294e-07,-4.036121995884421e-07,-0.01075164353307861,-7.668476722362148e-06,-6.589686274510148e-06,8.458562584878258e-06,6.769121449099265e-06,2768.9350547341096,0.2619826362299229,61.221583038749436,6858.431527580678,13.137628186037182,-0.003246680622034047,0.8378945658553952,95.13288064901705,95.16649118791487,NREM
2,1.3557014724956174e-06,-5.168832939141486e-08,1.7997418478675004e-06,2.1281489127946384e-06,4.013268390935956e-06,3.087399862668751e-06,-0.02774920793610539,-0.004274250640543215,2.7917122911420382e-06,4.72661340250743e-06,5.981300068670312e-07,3.939190600442461e-06,-2.8124934767700513e-07,0.21486777444235908,61.39647264815238,1.9549539838763e-06,1.8661134762595048e-06,0.5643812422046235,-2.7451941100172808e-06,5.024356450751506e-07,6.32391366445457e-06,8.237101792934973e-06,1.2791129195594798e-05,0.009162700652496525,1.7833606164644333e-06,6.132909803921226e-06,-5.793674753948322e-06,-1.0749740080363358e-05,2772.7983660028976,0.26260411977681136,61.310478709425844,6744.80183026881,13.453834577498233,-0.00322804715276826,0.5822781292439154,95.32166865881676,95.4109468223087,NREM
3,3.598364370183876e-06,2.0503655349558805e-06,5.492527550163984e-06,-1.890796429388928e-06,2.7431719844356137e-06,2.9407678644998343e-06,-0.027696186471341016,-0.004338568984840155,2.768579308766208e-06,8.515586683958866e-07,-2.6409346761267885e-06,6.463448462653491e-06,4.419227130540741e-06,0.25301674627359433,61.84691031713334,1.9549314819053434e-06,1.866069164059917e-06,0.562603229674159,-2.2017161821900504e-07,5.018757406983545e-07,7.500053180234941e-06,8.246431708247401e-06,8.997905010045088e-06,-0.009742091623353526,-1.6090144365606217e-05,-1.4300035294117992e-05,7.232051178759389e-06,4.833809938710417e-06,2770.65124193179,0.25882776288386017,61.99942015716794,4915.244469265782,14.449331424183923,-0.0032416271874825342,1.8696987351288112,95.05509354628144,95.01092851148243,NREM
4,2.6461624831515e-06,1.1744676890211385e-06,2.8830007171739777e-06,1.7828944838635333e-06,-3.6838088349738624e-06,2.774841306172223e-06,-0.027763177071905603,-0.004225026195490953,2.7727461661706493e-06,-7.456333073930096e-06,-7.1532882581821775e-06,5.342932280460769e-06,1.2787663691155484e-06,0.22515599917560591,61.67117731858295,1.955154873985911e-06,1.8660777904936295e-06,0.5619364243369194,-2.993251697563514e-07,4.916143536532641e-07,4.963109638615959e-06,7.198532082093438e-06,2.65201677729414e-06,0.0011783199508205808,5.056745098038706e-07,2.406933333332991e-06,7.019311589227078e-06,4.560977528547908e-06,2765.908416225425,0.2612873148011631,61.310478709425844,5731.289683171838,14.036913621332928,-0.0032390799138628406,0.21185402375321072,95.42161525224012,95.28871900511179,NREM
5,2.244953927926557e-06,7.670516009257188e-07,3.829649439230894e-06,-3.0667490959030037e-06,2.4561959258393176e-07,2.796300053406525e-06,-0.02774253227615778,-0.0041185720178988265,2.7886784161134276e-06,7.734031301340115e-06,2.884381017777232e-06,-5.519821850919406e-06,-7.211802548258567e-07,0.22907996048035406,61.75751791627883,1.955027105109229e-06,1.8661708501818367e-06,0.5601729956412909,-6.834914473179596e-07,5.055004704865084e-07,6.296069476870327e-06,-3.298963149462219e-06,6.964693987944939e-06,-0.00017371765439800767,-4.587340230411282e-06,-2.312576470588578e-06,5.26434058136822e-07,-2.3588358790459977e-06,2784.1820717343558,0.2610792146726686,61.96608428066429,6505.831974568293,13.951235709091428,-0.003311440814068837,1.0474597604842193,95.3770928172393,95.66651407644771,NREM
6,1.425618018361695e-06,-3.082204420029498e-08,8.200741313801734e-06,-4.0353393453880114e-06,3.2317436484303035e-07,2.816576821545688e-06,-0.027708121852638542,-0.004092576969199658,2.7755937285419e-06,3.3417670557715894e-06,1.695130388346819e-07,4.332440039673406e-06,4.031727779047438e-07,0.21523989316487377,61.100023880216675,1.9549650110627907e-06,1.8661707281096615e-06,0.5600344492103456,-1.9399196459904245e-06,5.024779634292108e-07,1.1930375672033216e-05,7.825647165636582e-06,8.297212967625008e-06,0.0030663322975971095,-5.900402471961597e-06,-2.3717333333336765e-06,1.5796107270923422e-06,-2.5539601536066643e-06,2741.089644441052,0.2581482341065724,61.521605927282295,5726.771230843566,13.877197258477048,-0.0032936672851911386,2.1023353273314513,95.37719454405195,95.39983520256354,NREM
7,4.347003117926811e-06,2.875107326873685e-06,3.691274647135068e-06,2.938620325017115e-06,2.2113029068434873e-06,2.644640482185041e-06,-0.027667830908847692,-0.004069186112916756,2.7794559395741733e-06,5.6454661478597856e-06,3.51127762264486e-06,-3.755093766689607e-06,2.641968108644045e-06,0.20138364880730397,61.567967031204695,1.9550026906741943e-06,1.8660650136059613e-06,0.5604302382835431,3.2093055619161527e-07,5.033707179369802e-07,5.149838592610007e-06,-2.5373685969330352e-06,7.925333597822612e-06,-0.0018324306015992456,1.4016979018844366e-06,2.688168627450638e-06,6.980822354467025e-06,5.120652229089603e-06,2771.961273226349,0.26047840912138215,61.521605927282295,6205.736187787692,14.285098437518885,-0.003361007298390193,0.95068806510516,95.58819290794571,95.82207675288015,REM
8,1.2031214363825984e-06,-2.3688595915668035e-07,-1.97797987335017e-06,-1.7264315739681138e-05,-5.347268482492109e-07,2.770229922941888e-06,-0.02760824249852242,-0.003949783890630954,2.7901034561683597e-06,-1.0529626632079683e-05,-5.251034515907057e-06,8.201274036774192e-06,-9.455788265812355e-06,0.19890126767233796,62.125895989216964,1.9548331731136035e-06,1.865996775260039e-06,0.5622463308271918,-1.1835515373461888e-06,5.041552351160957e-07,9.711460110378203e-07,1.0945699534599734e-05,6.68440936903901e-06,0.007033804650304317,-9.956488593881185e-06,-7.193854901961128e-06,3.9835564354924335e-06,6.10805073625602e-07,2745.980315936351,0.2598436603120368,62.26610716919713,6062.51907815162,14.553233303140814,-0.003359102410518572,0.9475752574959942,95.51045666861643,95.67762569619289,REM
9,2.1244118664326996e-06,6.232873833320665e-07,-6.448291401541212e-06,-3.054629648279596e-06,-3.822824628061525e-06,2.631056046387375e-06,-0.027658523233824166,-0.004006826121316847,2.7723357747767373e-06,-3.825325032425558e-06,-9.218386968790586e-07,-2.686882734417234e-07,-6.751915190356491e-06,0.20120228826896575,61.23451514997075,1.9545676661326006e-06,1.8659525037511761e-06,0.5624650883497369,-1.6115560845347142e-06,4.955060145977975e-07,-3.0743641311253987e-06,2.890738597695788e-06,3.825701304645938e-06,-0.0061664425823092965,-7.186728679331706e-06,-3.987470588235637e-06,-1.699648767834034e-06,-5.496301853970339e-06,2792.8302103540923,0.2607810251273501,60.94378406788571,6573.53012548002,13.686797150738181,-0.0033825297904936493,0.5444666721090511,95.388299721099,95.53317463950563,REM
