,Event,Duration,Start Time,End Time,Start Epoch,End Epoch,Unnamed: 0,Unnamed: 6
0,NREM,30.0,03:00.0,03:30.0,822,823,0.0,
1,NREM,30.0,03:30.0,04:00.0,823,824,1.0,
2,NREM,30.0,04:00.0,04:30.0,824,825,2.0,
3,NREM,30.0,04:30.0,05:00.0,825,826,3.0,
4,NREM,30.0,05:00.0,05:30.0,826,827,4.0,
5,NREM,30.0,05:30.0,06:00.0,827,828,5.0,
6,NREM,30.0,06:00.0,06:30.0,828,829,6.0,
7,NREM,30.0,06:30.0,07:00.0,829,830,7.0,
8,REM,30.0,07:00.0,07:30.0,830,831,8.0,
9,REM,30.0,07:30.0,08:00.0,831,832,9.0,
10,REM,30.0,08:00.0,08:30.0,832,833,10.0,
11,REM,30.0,08:30.0,09:00.0,833,834,11.0,
12,REM,30.0,09:00.0,09:30.0,834,835,12.0,
13,REM,30.0,09:30.0,10:00.0,835,836,13.0,
14,NREM,30.0,10:00.0,10:30.0,836,837,14.0,
15,NREM,30.0,10:30.0,11:00.0,837,838,15.0,
16,NREM,30.0,11:00.0,11:30.0,838,839,16.0,
17,NREM,30.0,11:30.0,12:00.0,839,840,17.0,
18,NREM,30.0,12:00.0,12:30.0,840,841,18.0,
19,NREM,30.0,12:30.0,13:00.0,841,842,19.0,
20,REM,30.0,13:00.0,13:30.0,842,843,20.0,
21,NREM,30.0,13:30.0,14:00.0,843,844,21.0,
22,NREM,30.0,14:00.0,14:30.0,844,845,22.0,
23,NREM,30.0,14:30.0,15:00.0,845,846,23.0,
24,NREM,30.0,15:00.0,15:30.0,846,847,24.0,
25,NREM,30.0,15:30.0,16:00.0,847,848,25.0,
26,NREM,30.0,16:00.0,16:30.0,848,849,26.0,
27,NREM,30.0,16:30.0,17:00.0,849,850,27.0,
28,NREM,30.0,17:00.0,17:30.0,850,851,28.0,
29,NREM,30.0,17:30.0,18:00.0,851,852,29.0,
30,NREM,30.0,18:00.0,18:30.0,852,853,30.0,
31,NREM,30.0,18:30.0,19:00.0,853,854,31.0,
32,NREM,30.0,19:00.0,19:30.0,854,855,32.0,
33,NREM,30.0,19:30.0,20:00.0,855,856,33.0,
34,NREM,30.0,20:00.0,20:30.0,856,857,34.0,
35,NREM,30.0,20:30.0,21:00.0,857,858,35.0,
36,NREM,30.0,21:00.0,21:30.0,858,859,36.0,
37,NREM,30.0,21:30.0,22:00.0,859,860,37.0,
38,NREM,30.0,22:00.0,22:30.0,860,861,38.0,
39,NREM,30.0,22:30.0,23:00.0,861,862,39.0,
